Song,Artist
Don't Toss Us Away,Patty Loveless
A Boy Named Sue,Johnny Cash
You Are My Sunshine,Jimmie Davis
Flowers on the Wall,The Statler Brothers
Strawberry Wine,Deana Carter
Good Hearted Woman,Waylon Jennings & Willie Nelson
You're Still the One,Shania Twain
My Home's in Alabama,Alabama
Is There Life Out There,Reba Mcentire
She's in Love With the Boy,Trisha Yearwood
Smoky Mountain Rain,Ronnie Milsap
Should've Been a Cowboy,Toby Keith
Rose Garden,Lynn Anderson
Please Remember Me,Tim McGraw
Blue,LeAnn Rimes
Before the Next Teardrop Falls,Freddy Fender
Passionate Kisses,Mary Chapin Carpenter
Have I Told You Lately That I Love You,Gene Autry
Here's a Quarter (Call Someone Who Cares),Travis Tritt
He'll Have to Go,Jim Reeves
Seven Year Ache,Rosanne Cash
Sunday Mornin' Comin' Down,Johnny Cash or Kris Kristofferson
Take This Job And Shove It,Johnny Paycheck
Something in Red,Lorrie Morgan
Foggy Mountain Breakdown,Flatt & Scruggs
I'D Be Better Off (In a Pine Box),Doug Stone
Amazed,Lonestar
Faded Love,Bob Wills or Patsy Cline
Back in the Saddle Again,Gene Autry
Killin' Time,Clint Black
